text,label
"Hi, can we reschedule our meeting?",ham
Please find attached the project report.,ham
URGENT! Your account has been compromised.,spam
Reminder: Your electricity bill is due tomorrow.,ham
"Hi, can we reschedule our meeting?",ham
Free vacation to the Bahamas. Reply now!,spam
Congratulations! You've won a $1000 gift card.,spam
Can you review the document I sent?,ham
Click here to claim your prize!,spam
"Hi, can we reschedule our meeting?",ham
"Hey, are we still on for lunch today?",ham
Don't forget about the team meeting at 10 AM.,ham
Free vacation to the Bahamas. Reply now!,spam
Don't forget about the team meeting at 10 AM.,ham
Act fast! This deal won't last!,spam
Limited time offer! Buy now!,spam
"Hi, can we reschedule our meeting?",ham
Reminder: Your electricity bill is due tomorrow.,ham
Can you review the document I sent?,ham
Click here to claim your prize!,spam
Don't forget about the team meeting at 10 AM.,ham
Reminder: Your electricity bill is due tomorrow.,ham
Free vacation to the Bahamas. Reply now!,spam
Reminder: Your electricity bill is due tomorrow.,ham
Reminder: Your electricity bill is due tomorrow.,ham
You have been selected for a special reward.,spam
Don't forget about the team meeting at 10 AM.,ham
Limited time offer! Buy now!,spam
Click here to claim your prize!,spam
Reminder: Your electricity bill is due tomorrow.,ham
"Hey, are we still on for lunch today?",ham
Please find attached the project report.,ham
Act fast! This deal won't last!,spam
Free vacation to the Bahamas. Reply now!,spam
"Hi, can we reschedule our meeting?",ham
Congratulations! You've won a $1000 gift card.,spam
Can you review the document I sent?,ham
Free vacation to the Bahamas. Reply now!,spam
Don't forget about the team meeting at 10 AM.,ham
You have been selected for a special reward.,spam
You have been selected for a special reward.,spam
Earn $5000 per week from home!,spam
Click here to claim your prize!,spam
Can you review the document I sent?,ham
Can you review the document I sent?,ham
Earn $5000 per week from home!,spam
Reminder: Your electricity bill is due tomorrow.,ham
Reminder: Your electricity bill is due tomorrow.,ham
Earn $5000 per week from home!,spam
Can you review the document I sent?,ham
Can you review the document I sent?,ham
You have been selected for a special reward.,spam
"Hi, can we reschedule our meeting?",ham
Reminder: Your electricity bill is due tomorrow.,ham
Let's catch up over coffee next week.,ham
Don't forget about the team meeting at 10 AM.,ham
Act fast! This deal won't last!,spam
Congratulations! You've won a $1000 gift card.,spam
Let's catch up over coffee next week.,ham
"Hey, are we still on for lunch today?",ham
Reminder: Your electricity bill is due tomorrow.,ham
Let's catch up over coffee next week.,ham
Please find attached the project report.,ham
Earn $5000 per week from home!,spam
"Hi, can we reschedule our meeting?",ham
Thanks for your help with the assignment!,ham
Limited time offer! Buy now!,spam
Let's catch up over coffee next week.,ham
Free vacation to the Bahamas. Reply now!,spam
Reminder: Your electricity bill is due tomorrow.,ham
You have been selected for a special reward.,spam
"Hey, are we still on for lunch today?",ham
You have been selected for a special reward.,spam
"Hey, are we still on for lunch today?",ham
Act fast! This deal won't last!,spam
Please find attached the project report.,ham
Can you review the document I sent?,ham
Don't forget about the team meeting at 10 AM.,ham
Thanks for your help with the assignment!,ham
Free vacation to the Bahamas. Reply now!,spam
Congratulations! You've won a $1000 gift card.,spam
Please find attached the project report.,ham
"Hi, can we reschedule our meeting?",ham
Congratulations! You've won a $1000 gift card.,spam
Congratulations! You've won a $1000 gift card.,spam
Reminder: Your electricity bill is due tomorrow.,ham
Let's catch up over coffee next week.,ham
Please find attached the project report.,ham
Thanks for your help with the assignment!,ham
You have been selected for a special reward.,spam
Please find attached the project report.,ham
Act fast! This deal won't last!,spam
Act fast! This deal won't last!,spam
"Hi, can we reschedule our meeting?",ham
Reminder: Your electricity bill is due tomorrow.,ham
Limited time offer! Buy now!,spam
Reminder: Your electricity bill is due tomorrow.,ham
Free vacation to the Bahamas. Reply now!,spam
"Hey, are we still on for lunch today?",ham
Let's catch up over coffee next week.,ham
